Actual,Predicted
18694.583984375,18694.583984375
18602.880859375,18602.880859375
18512.029296875,18512.029296875
18422.0234375,18422.0234375
18332.857421875,18332.857421875
18244.5234375,18244.5234375
18157.01171875,18157.01171875
18070.3125,18070.3125
17984.421875,17984.421875
17899.33203125,17899.33203125
17815.033203125,17815.033203125
17731.51953125,17731.51953125
17648.783203125,17648.783203125
17566.81640625,17566.81640625
17485.615234375,17485.615234375
17405.16796875,17405.16796875
17325.470703125,17325.470703125
17246.515625,17246.515625
17168.294921875,17168.294921875
17090.8046875,17090.8046875
17014.03515625,17014.03515625
16937.978515625,16937.978515625
16862.6328125,16862.6328125
16787.986328125,16787.986328125
16714.037109375,16714.037109375
16640.7734375,16640.7734375
16568.193359375,16568.193359375
16496.2890625,16496.2890625
16425.0546875,16425.0546875
16354.482421875,16354.482421875
16284.568359375,16284.568359375
16215.3046875,16215.3046875
16146.6875,16146.6875
16078.7080078125,16078.7080078125
16011.3623046875,16011.3623046875
15944.6435546875,15944.6435546875
15878.544921875,15878.544921875
15813.0615234375,15813.0615234375
15748.1884765625,15748.1884765625
15683.9189453125,15683.9189453125
15620.248046875,15620.248046875
15557.1708984375,15557.1708984375
15494.681640625,15494.681640625
15432.7724609375,15432.7724609375
15371.4404296875,15371.4404296875
15310.6796875,15310.6796875
15250.4853515625,15250.4853515625
15190.8525390625,15190.8525390625
15131.7744140625,15131.7744140625
15073.2451171875,15073.2451171875
15015.2626953125,15015.2626953125
14957.8193359375,14957.8193359375
14900.9091796875,14900.9091796875
14844.5302734375,14844.5302734375
14788.67578125,14788.67578125
14733.3408203125,14733.3408203125
14678.521484375,14678.521484375
14624.212890625,14624.212890625
14570.41015625,14570.41015625
14517.109375,14517.109375
14464.3037109375,14464.3037109375
14411.990234375,14411.990234375
14360.1640625,14360.1640625
14308.8193359375,14308.8193359375
14257.953125,14257.953125
14207.5615234375,14207.5615234375
14157.6376953125,14157.6376953125
14108.1787109375,14108.1787109375
14059.1806640625,14059.1806640625
14010.638671875,14010.638671875
13962.548828125,13962.548828125
13914.908203125,13914.908203125
13867.7099609375,13867.7099609375
13820.9501953125,13820.9501953125
13774.626953125,13774.626953125
13728.7353515625,13728.7353515625
13683.271484375,13683.271484375
