,Date,Price,Price_Future
146,2022-04-13,41129.8,39915.9
147,2022-04-14,39915.9,40529.5
148,2022-04-15,40529.5,40361.0
149,2022-04-16,40361.0,39649.1
150,2022-04-17,39649.1,40785.6
151,2022-04-18,40785.6,41472.9
152,2022-04-19,41472.9,41327.7
153,2022-04-20,41327.7,40449.8
154,2022-04-21,40449.8,39674.2
155,2022-04-22,39674.2,39415.1
156,2022-04-23,39415.1,39433.4
157,2022-04-24,39433.4,40411.0
158,2022-04-25,40411.0,38093.7
159,2022-04-26,38093.7,39209.0
160,2022-04-27,39209.0,39732.5
161,2022-04-28,39732.5,38572.2
162,2022-04-29,38572.2,37614.5
163,2022-04-30,37614.5,38440.5
164,2022-05-01,38440.5,38525.6
165,2022-05-02,38525.6,37712.9
166,2022-05-03,37712.9,39684.0
167,2022-05-04,39684.0,36534.7
168,2022-05-05,36534.7,35995.3
169,2022-05-06,35995.3,35466.7
170,2022-05-07,35466.7,34032.0
171,2022-05-08,34032.0,30056.6
172,2022-05-09,30056.6,31002.1
173,2022-05-10,31002.1,29074.7
174,2022-05-11,29074.7,29020.7
175,2022-05-12,29020.7,29274.3
176,2022-05-13,29274.3,30079.8
177,2022-05-14,30079.8,31324.4
178,2022-05-15,31324.4,29866.7
179,2022-05-16,29866.7,30437.0
180,2022-05-17,30437.0,28700.6
181,2022-05-18,28700.6,30319.9
182,2022-05-19,30319.9,29188.9
183,2022-05-20,29188.9,29427.4
184,2022-05-21,29427.4,30284.0
185,2022-05-22,30284.0,29097.7
186,2022-05-23,29097.7,29643.1
187,2022-05-24,29643.1,29536.7
188,2022-05-25,29536.7,29194.0
189,2022-05-26,29194.0,28623.2
190,2022-05-27,28623.2,29018.8
191,2022-05-28,29018.8,29452.8
192,2022-05-29,29452.8,31726.5
193,2022-05-30,31726.5,31797.8
194,2022-05-31,31797.8,29796.9
195,2022-06-01,29796.9,30437.1
196,2022-06-02,30437.1,29682.8
197,2022-06-03,29682.8,29848.4
198,2022-06-04,29848.4,29909.9
199,2022-06-05,29909.9,31361.2
200,2022-06-06,31361.2,31118.1
201,2022-06-07,31118.1,30192.5
202,2022-06-08,30192.5,30093.3
203,2022-06-09,30093.3,29077.7
204,2022-06-10,29077.7,28416.7
205,2022-06-11,28416.7,26564.7
206,2022-06-12,26564.7,22471.5
207,2022-06-13,22471.5,22122.7
208,2022-06-14,22122.7,22567.5
209,2022-06-15,22567.5,20387.4
210,2022-06-16,20387.4,20457.3
211,2022-06-17,20457.3,18959.7
212,2022-06-18,18959.7,20564.2
213,2022-06-19,20564.2,20570.1
214,2022-06-20,20570.1,20713.1
215,2022-06-21,20713.1,19977.4
216,2022-06-22,19977.4,21096.6
217,2022-06-23,21096.6,21231.2
218,2022-06-24,21231.2,21481.9
219,2022-06-25,21481.9,21029.1
220,2022-06-26,21029.1,20730.0
221,2022-06-27,20730.0,20268.6
222,2022-06-28,20268.6,20109.9
223,2022-06-29,20109.9,19923.5
224,2022-06-30,19923.5,19272.0
225,2022-07-01,19272.0,19240.9
226,2022-07-02,19240.9,19305.9
227,2022-07-03,19305.9,20226.6
228,2022-07-04,20226.6,20170.0
229,2022-07-05,20170.0,20554.1
230,2022-07-06,20554.1,21613.4
231,2022-07-07,21613.4,21587.9
232,2022-07-08,21587.9,21580.0
233,2022-07-09,21580.0,20853.8
234,2022-07-10,20853.8,19954.3
235,2022-07-11,19954.3,19322.9
236,2022-07-12,19322.9,20220.1
237,2022-07-13,20220.1,20578.6
238,2022-07-14,20578.6,20823.1
239,2022-07-15,20823.1,21183.5
240,2022-07-16,21183.5,20794.4
241,2022-07-17,20794.4,22423.9
242,2022-07-18,22423.9,23385.9
243,2022-07-19,23385.9,23221.5
244,2022-07-20,23221.5,23144.5
245,2022-07-21,23144.5,22675.1
246,2022-07-22,22675.1,22440.2
247,2022-07-23,22440.2,22570.6
248,2022-07-24,22570.6,21300.0
249,2022-07-25,21300.0,21241.0
250,2022-07-26,21241.0,22941.1
251,2022-07-27,22941.1,23836.2
252,2022-07-28,23836.2,23771.1
253,2022-07-29,23771.1,23629.9
254,2022-07-30,23629.9,23290.1
255,2022-07-31,23290.1,23257.6
256,2022-08-01,23257.6,22975.1
257,2022-08-02,22975.1,22801.5
258,2022-08-03,22801.5,22608.9
259,2022-08-04,22608.9,23298.1
260,2022-08-05,23298.1,22943.3
261,2022-08-06,22943.3,23167.8
262,2022-08-07,23167.8,23804.4
263,2022-08-08,23804.4,23140.2
264,2022-08-09,23140.2,23940.9
265,2022-08-10,23940.9,23917.2
266,2022-08-11,23917.2,24387.5
267,2022-08-12,24387.5,24429.0
268,2022-08-13,24429.0,24294.1
269,2022-08-14,24294.1,24085.2
270,2022-08-15,24085.2,23843.0
271,2022-08-16,23843.0,23333.1
272,2022-08-17,23333.1,23185.1
273,2022-08-18,23185.1,20824.9
274,2022-08-19,20824.9,21127.8
